name,code_incl_expiration,ticker,shares,NACE
Rella Holding,RELLA.CO^H15 (expired),RELLA.CO^H15,21600000.0,58
Colexon Solar,RENI.CO^K09 (expired),RENI.CO^K09,69461940.0,64
Rias,RIASb.CO,RIASb.CO,199380.0,20
Ringkjobing Bk,RIBA.CO^L08 (expired),RIBA.CO^L08,1560000.0,64
Ringkjobing Labk,RILBA.CO,RILBA.CO,26706739.0,64
ROCKWOOL,ROCKa.CO,ROCKa.CO,21620709.0,23
ROCKWOOL,ROCKb.CO,ROCKb.CO,21620709.0,23
Sels 1 Sept,ROSK.CO^C09 (expired),ROSK.CO^C09,12548052.0,64
Rovsing,ROVS.CO,ROVS.CO,684797.0,58
Randers Reb,RREBh.CO^C05 (expired),RREBh.CO^C05,427364.0,13
Randers Reb,RREBo.CO^C05 (expired),RREBo.CO^C05,211680.0,13
Randers Reb,RREBp.CO^C05 (expired),RREBp.CO^C05,282242.0,13
Rtx,RTX.CO,RTX.CO,8467838.0,26
Salling Bank DK,SALB.CO^J20 (expired),SALB.CO^J20,1310000.0,64
Samson Group,SAMC.CO^G03 (expired),SAMC.CO^G03,,82
Ahlsell,SANI.CO^A23 (expired),SANI.CO^A23,11923784.0,46
SAS,SAS.CO^H24 (expired),SAS.CO^H24,7266039292.0,51
Satair,SATA.CO^K11 (expired),SATA.CO^K11,4384196.0,30
Scand Bra System,SBS.CO^L24 (expired),SBS.CO^L24,3208500.0,29
Scandinavian,SCANPb.CO^G11 (expired),SCANPb.CO^G11,830000.0,68
Schouw & Co,SCHO.CO,SCHO.CO,25000000.0,10
Schouw & Co,SCOCa.CO^F02 (expired),SCOCa.CO^F02,25000000.0,10
FAB Skandia,SDIA.CO^E03 (expired),SDIA.CO^E03,1026453618.0,65
Shape Robotics,SHAPE.CO,SHAPE.CO,15066167.0,58
Scandinavian Inv,SIGR.CO,SIGR.CO,47022205.0,68
Simcorp,SIM.CO^J23 (expired),SIM.CO^J23,40500000.0,58
Sjaelsoe Gruppen,SJGR.CO^H13 (expired),SJGR.CO^H13,80727542.0,68
Skako,SKAKO.CO,SKAKO.CO,3152496.0,28
Skako,SKAKO.CO^H03 (expired),SKAKO.CO^H03,3152496.0,28
Skjern Bank,SKJE.CO,SKJE.CO,9640000.0,64
Skaelskoer Bank,SKLS.CO^I10 (expired),SKLS.CO^I10,7670784.0,64
Solar,SOLARb.CO,SOLARb.CO,6460000.0,46
Berendsen DK,SOPH.CO^F02 (expired),SOPH.CO^F02,6581660.0,77
Sparekas Lolland,SPALOL.CO^A13 (expired),SPALOL.CO^A13,11714450.0,64
Sparbank,SPB.CO^K12 (expired),SPB.CO^K12,6026665.0,64
Berendsen DK,SPBCa.CO^A02 (expired),SPBCa.CO^A02,6581660.0,77
Scandinavian,SPEAS.CO^B20 (expired),SPEAS.CO^B20,43486.0,64
Invest Sjaelland,SPFA.CO^J13 (expired),SPFA.CO^J13,1120000.0,64
SP Group,SPGP.CO,SPGP.CO,12490000.0,20
Sparesjael-Fyn,SPKSJF.CO,SPKSJF.CO,16980115.0,64
Spaencom,SPNCa.CO^D11 (expired),SPNCa.CO^D11,300610.0,23
Spaencom,SPNCb.CO^D11 (expired),SPNCb.CO^D11,308074.0,23
Spar Nord,SPNFI.CO^J11 (expired),SPNFI.CO^J11,247436000.0,64
Spar Nord Bank,SPNO.CO,SPNO.CO,117702031.0,64
Scand Tbc,STOGR.CO,STOGR.CO,86000000.0,12
Strategic Partne,STRAP.CO,STRAP.CO,41712.0,72
Strategic Invts,STRINVS.CO,STRINVS.CO,406500000.0,64
Of 22 Jan 2021,STYLE.CO^D16 (expired),STYLE.CO^D16,787226700.0,82
Sydbank,SYDB.CO,SYDB.CO,54588420.0,64
TCM Group,TCM.CO,TCM.CO,10513638.0,31
TDC Holding,TDC.CO^F18 (expired),TDC.CO^F18,812000000.0,61
Thrane & Thrane,THRAN.CO^G12 (expired),THRAN.CO^G12,5944244.0,26
Tivoli,TIV.CO,TIV.CO,5716660.0,93
Toender Bank,TNDR.CO^K12 (expired),TNDR.CO^K12,980000.0,64
Topdanmark,TOP.CO^J24 (expired),TOP.CO^J24,90000000.0,65
Topotarget,TOPO.CO^H14 (expired),TOPO.CO^H14,145791112.0,72
Torm A,TORMa.CO^D16 (expired),TORMa.CO^D16,63826439.0,50
Totalbanken,TOTA.CO^I23 (expired),TOTA.CO^I23,3266666.0,64
Tower Grp,TOWER.CO^K12 (expired),TOWER.CO^K12,172595011.0,68
Trifork,TRIFOR.CO^C14 (expired),TRIFOR.CO^C14,18000000.0,62
A/S TARM BANK,TRMC.CO^H02 (expired),TRMC.CO^H02,,64
TORM,TRMDa.CO,TRMDa.CO,98251808.0,49
Tryg,TRYG.CO,TRYG.CO,616392109.0,65
Udvikling,UDV75.CO^B13 (expired),UDV75.CO^B13,115717147.0,68
UIE,UIE.CO,UIE.CO,32227690.0,01
Utd Plantations,UPAL.CO^H10 (expired),UPAL.CO^H10,20523570.0,01
United Plantatn,UPB.CO^L13 (expired),UPB.CO^L13,624355032.0,10
Ultrabulk,USEA.CO^L11 (expired),USEA.CO^L11,27100000.0,50
Vestfyns Bank,VEFY.CO^L13 (expired),VEFY.CO^L13,250000.0,64
Veloxis Pharmace,VELOX.CO^B20 (expired),VELOX.CO^B20,1739741590.0,72
Vendsyssel Bank,VEND.CO^C02 (expired),VEND.CO^C02,,64
Vejen Tralsthndl,VETR.CO^L03 (expired),VETR.CO^L03,76800.0,47
Jeld-Wen,VEWO.CO^F02 (expired),VEWO.CO^F02,5996310.0,46
Victor Internati,VIINT.CO^E16 (expired),VIINT.CO^E16,700000.0,68
Vinderup Bank,VIND.CO^K12 (expired),VIND.CO^K12,1080000.0,64
Vestjysk Bank,VJBA.CO,VJBA.CO,1233573501.0,64
Vordingborg,VORD.CO^A14 (expired),VORD.CO^A14,198000.0,64
Skako,VTHa.CO^E03 (expired),VTHa.CO^E03,3152496.0,28
FCFC,VTJB.CO^E03 (expired),VTJB.CO^E03,5861186291.0,19
Vestas Wind,VWS.CO,VWS.CO,1009867260.0,28
Selskab 1979,WALLS.CO^I10 (expired),WALLS.CO^I10,214506610.0,68
Magasin Du Nord,WEVE.CO^C05 (expired),WEVE.CO^C05,3010864.0,47
Wewers,WEWER.CO^L05 (expired),WEWER.CO^L05,55254.0,23
Zealand Pharma,ZELA.CO,ZELA.CO,71051296.0,72
